ticker,Date,Stock Splits,Split Ratio
CZFS,2024-06-14 04:00:00+00:00,1.01,1.01:1
SLRX,2024-06-17 04:00:00+00:00,0.125,1:8
GRI,2024-06-18 04:00:00+00:00,0.0769230769230769,1:13
FORD,2024-06-18 04:00:00+00:00,0.1,1:10
VSME,2024-06-18 04:00:00+00:00,0.1428571428571428,1:7
BJDX,2024-06-20 04:00:00+00:00,0.125,1:8
ATRA,2024-06-20 04:00:00+00:00,0.04,1:25
WHLR,2024-06-20 04:00:00+00:00,0.1666666666666666,1:6
BGM,2024-06-21 04:00:00+00:00,0.2,1:5
BBSI,2024-06-24 04:00:00+00:00,4.0,4:1
RIGL,2024-06-27 04:00:00+00:00,0.1,1:10
YYAI,2024-06-27 04:00:00+00:00,0.05,1:20
WHLR,2024-06-28 04:00:00+00:00,0.2,1:5
NUWE,2024-06-28 04:00:00+00:00,0.0285714285714285,1:35
DARE,2024-07-01 04:00:00+00:00,0.0833333333333333,1:12
YGMZ,2024-07-01 04:00:00+00:00,0.125,1:8
RELI,2024-07-01 04:00:00+00:00,0.0588235294117647,1:17
MDRR,2024-07-03 04:00:00+00:00,0.5,1:2
JZXN,2024-07-03 04:00:00+00:00,0.0769230769230769,1:13
CYN,2024-07-05 04:00:00+00:00,0.01,1:100
PHIO,2024-07-05 04:00:00+00:00,0.1111111111111111,1:9
SNFCA,2024-07-05 04:00:00+00:00,1.05,1.05:1
CJET,2024-07-08 04:00:00+00:00,0.0333333333333333,1:30
AFCG,2024-07-10 04:00:00+00:00,1.461,1.461:1
IMCC,2024-07-12 04:00:00+00:00,0.1666666666666666,1:6
AVGO,2024-07-15 04:00:00+00:00,10.0,10:1
SMX,2024-07-15 04:00:00+00:00,0.0133333333333333,1:75
ALZN,2024-07-16 04:00:00+00:00,0.1,1:10
TCRT,2024-07-18 04:00:00+00:00,0.1,1:10
SONM,2024-07-18 04:00:00+00:00,0.1,1:10
LUCY,2024-07-18 04:00:00+00:00,0.05,1:20
EVGN,2024-07-25 04:00:00+00:00,0.1,1:10
SNES,2024-07-25 04:00:00+00:00,0.1,1:10
NWTG,2024-07-30 04:00:00+00:00,0.1,1:10
EVOK,2024-08-01 04:00:00+00:00,0.0833333333333333,1:12
CHAI,2024-08-02 04:00:00+00:00,0.0555555555555555,1:18
GNLN,2024-08-05 04:00:00+00:00,0.0909090909090909,1:11
BIVI,2024-08-06 04:00:00+00:00,0.1,1:10
SBFM,2024-08-08 04:00:00+00:00,0.05,1:20
MSTR,2024-08-08 04:00:00+00:00,10.0,10:1
SXTP,2024-08-12 04:00:00+00:00,0.0833333333333333,1:12
MNPR,2024-08-13 04:00:00+00:00,0.2,1:5
AIFF,2024-08-13 04:00:00+00:00,0.3333333333333333,1:3
SHPH,2024-08-13 04:00:00+00:00,0.125,1:8
ASTI,2024-08-15 04:00:00+00:00,0.01,1:100
ATON,2024-08-15 04:00:00+00:00,0.05,1:20
QNTM,2024-08-15 04:00:00+00:00,0.0153846153846153,1:65
ORBS,2024-08-16 04:00:00+00:00,0.2,1:5
FFAI,2024-08-19 04:00:00+00:00,0.025,1:40
